Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	Fasta.headers	Peptides	Razor...unique.peptides	Unique.peptides	LFQ.intensity.Ubi4_1	LFQ.intensity.Ubi4_2	LFQ.intensity.Ubi4_3	LFQ.intensity.Ubi6_1	LFQ.intensity.Ubi6_2	LFQ.intensity.Ubi6_3	LFQ.intensity.Ctrl_1	LFQ.intensity.Ctrl_2	LFQ.intensity.Ctrl_3	LFQ.intensity.Ubi1_1	LFQ.intensity.Ubi1_2	LFQ.intensity.Ubi1_3	Only.identified.by.site	Reverse	Potential.contaminant
P13647;CON__P13647;H0YI76;F8W0C6;H0YIN9;F8VV57	P13647;CON__P13647	"Keratin, type II cytoskeletal 5"	KRT5	">sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3;>P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5"	39	31	8	39365000	44662000	43021000	14313000	76190000	84679000	2925500000	62962000	126290000	98114000	138490000	77869000			+
P20930;CON__P20930	P20930;CON__P20930	Filaggrin	FLG	>sp|P20930|FILA_HUMAN Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3;>P20930 SWISS-PROT:P20930 Tax_Id=9606 Gene_Symbol=FLG Filaggrin	9	9	9	0	0	0	0	0	0	129700000	0	0	0	0	0			+
CON__P35908;CON__Q6NXH9;Q7Z794;CON__Q7Z794;CON__Q9R0H5;H0YID6;H0YIC5	CON__P35908			">P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal"	47	1	1	0	0	0	13267000	20005000	20646000	45351000	68852000	17041000	69586000	0	19975000			+
Q8N339;P80297;P13640-2;P04732;P02795;CON__P67983;P13640	Q8N339;P80297;P13640-2;P04732;P02795;CON__P67983;P13640	Metallothionein-1M;Metallothionein-1X;Metallothionein-1G;Metallothionein-1E;Metallothionein-2	MT1M;MT1X;MT1G;MT1E;MT2A	>sp|Q8N339|MT1M_HUMAN Metallothionein-1M OS=Homo sapiens GN=MT1M PE=2 SV=2;>sp|P80297|MT1X_HUMAN Metallothionein-1X OS=Homo sapiens GN=MT1X PE=1 SV=1;>sp|P13640-2|MT1G_HUMAN Isoform 2 of Metallothionein-1G OS=Homo sapiens GN=MT1G;>sp|P04732|MT1E_HUMAN Meta	1	1	1	0	0	0	0	0	0	0	0	0	0	0	11110000			+
Q04695;CON__Q04695;K7EPJ9;K7ESE1;K7ELP7	Q04695;CON__Q04695	"Keratin, type I cytoskeletal 17"	KRT17	">sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2;>Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17"	21	2	1	0	0	0	0	0	0	80259000	0	0	0	0	0			+
Q7RTS7;CON__Q7RTS7;Q86Y46;CON__Q32MB2;F8W1S1;Q86Y46-2;Q3SY84;CON__Q3SY84;H0YIG3	Q7RTS7;CON__Q7RTS7;Q86Y46;CON__Q32MB2;F8W1S1;Q86Y46-2;Q3SY84;CON__Q3SY84	"Keratin, type II cytoskeletal 74;Keratin, type II cytoskeletal 73;Keratin, type II cytoskeletal 71"	KRT74;KRT73;KRT71	">sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens GN=KRT74 PE=1 SV=2;>Q7RTS7 SWISS-PROT:Q7RTS7 Tax_Id=9606 Gene_Symbol=KRT74 Keratin, type II cytoskeletal 74;>sp|Q86Y46|K2C73_HUMAN Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=K"	5	1	0	0	0	0	0	0	0	0	0	0	0	3959900	0			+
CON__Q3SZV7	CON__Q3SZV7			>Q3SZV7 TREMBL:Q3SZV7 (Bos taurus) Similar to hemopexin	5	5	5	26519000	32208000	26616000	33515000	0	0	22423000	27669000	23746000	30693000	28971000	25776000			+
Q5D862;CON__Q5D862	Q5D862;CON__Q5D862	Filaggrin-2	FLG2	>sp|Q5D862|FILA2_HUMAN Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1;>Q5D862 SWISS-PROT:Q5D862 Tax_Id=9606 Gene_Symbol=FLG2 Filaggrin-2	24	24	24	0	0	0	0	0	0	335120000	24416000	22665000	32734000	27877000	15719000			+
CON__Q5XQN5;CON__Q922U2;F8VU69	CON__Q5XQN5;CON__Q922U2			">Q5XQN5 SWISS-PROT:Q5XQN5 (Bos taurus) Keratin, type II cytoskeletal 5;>Q922U2 SWISS-PROT:Q922U2 Tax_Id=10090 Gene_Symbol=Krt5 Keratin, type II cytoskeletal 5"	33	1	0	0	0	0	0	0	0	0	0	0	0	0	68480000	+		+
CON__Q61782	CON__Q61782			>Q61782 TREMBL:Q61782 Tax_Id=10090 Gene_Symbol=Krt14 Type I epidermal keratin (Fragment)	6	1	1	0	0	0	0	0	0	11786000	0	0	0	0	0	+		+
Q6KB66-2;Q6KB66;CON__Q6KB66-1;Q6KB66-3	Q6KB66-2;Q6KB66;CON__Q6KB66-1;Q6KB66-3	"Keratin, type II cytoskeletal 80"	KRT80	">sp|Q6KB66-2|K2C80_HUMAN Isoform 2 of Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80;>sp|Q6KB66|K2C80_HUMAN Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2;>Q6KB66-1 SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1"	3	3	3	0	0	0	0	0	0	7427900	0	0	0	0	0			+
Q8N1N4;CON__Q8N1N4-2;CON__Q7RTT2;Q8N1N4-2;F8VS93	Q8N1N4;CON__Q8N1N4-2;CON__Q7RTT2;Q8N1N4-2	"Keratin, type II cytoskeletal 78"	KRT78	">sp|Q8N1N4|K2C78_HUMAN Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2;>Q8N1N4-2 SWISS-PROT:Q8N1N4-2 Tax_Id=9606 Gene_Symbol=KRT78 Isoform 2 of Keratin, type II cytoskeletal 78;>Q7RTT2 TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin"	6	4	4	0	0	0	0	0	0	24633000	0	0	0	0	0			+
Q86YZ3;CON__Q86YZ3	Q86YZ3;CON__Q86YZ3	Hornerin	HRNR	>sp|Q86YZ3|HORN_HUMAN Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2;>Q86YZ3 SWISS-PROT:Q86YZ3 Tax_Id=9606 Gene_Symbol=HRNR Hornerin	5	5	5	0	0	0	0	22844000	0	34758000	31954000	49158000	50365000	49427000	11836000			+
Q9C075-2;Q9C075;CON__Q9C075	Q9C075-2;Q9C075;CON__Q9C075	"Keratin, type I cytoskeletal 23"	KRT23	">sp|Q9C075-2|K1C23_HUMAN Isoform 2 of Keratin, type I cytoskeletal 23 OS=Homo sapiens GN=KRT23;>sp|Q9C075|K1C23_HUMAN Keratin, type I cytoskeletal 23 OS=Homo sapiens GN=KRT23 PE=1 SV=2;>Q9C075 SWISS-PROT:Q9C075 Tax_Id=9606 Gene_Symbol=KRT23 Keratin, type I"	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0			+
CON__Q9QWL7	CON__Q9QWL7			">Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytoskeletal 17"	21	1	1	0	0	0	0	0	0	0	0	0	0	0	10856000	+		+
CON__REFSEQ:XP_001474382	CON__REFSEQ:XP_001474382			>REFSEQ:XP_001474382 Tax_Id=10090 Gene_Symbol=1110025L11Rik RIKEN cDNA 1110025L11	1	1	1	0	0	0	0	0	0	0	0	0	2278800	0	0	+		+
F6U1T9;P63098;D3YTA9;H7BYZ3	F6U1T9;P63098;D3YTA9;H7BYZ3	Calcineurin subunit B type 1	PPP3R1	>tr|F6U1T9|F6U1T9_HUMAN Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 PE=4 SV=1;>sp|P63098|CANB1_HUMAN Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 PE=1 SV=2;>tr|D3YTA9|D3YTA9_HUMAN Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 	2	2	2	0	0	0	0	4341800	0	0	0	0	0	0	0			
D3YTB1;P62910;F8W727	D3YTB1;P62910;F8W727	60S ribosomal protein L32	RPL32	>tr|D3YTB1|D3YTB1_HUMAN 60S ribosomal protein L32 (Fragment) OS=Homo sapiens GN=RPL32 PE=1 SV=1;>sp|P62910|RL32_HUMAN 60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2;>tr|F8W727|F8W727_HUMAN 60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE	5	5	5	260900000	336210000	211790000	277400000	243120000	274430000	253340000	279480000	275280000	266530000	292080000	400830000			
P51617-4;P51617-2;P51617-3;D3YTB5;P51617;H7C2I6;P51955-3;F8WAB6;P51955-2;H7C224;B4DZU0;P51955-4;P51955	P51617-4;P51617-2;P51617-3;D3YTB5;P51617;H7C2I6;P51955-3;F8WAB6;P51955-2;H7C224;B4DZU0;P51955-4;P51955	Interleukin-1 receptor-associated kinase 1;Serine/threonine-protein kinase Nek2	IRAK1;NEK2	>sp|P51617-4|IRAK1_HUMAN Isoform 4 of Interleukin-1 receptor-associated kinase 1 OS=Homo sapiens GN=IRAK1;>sp|P51617-2|IRAK1_HUMAN Isoform 2 of Interleukin-1 receptor-associated kinase 1 OS=Homo sapiens GN=IRAK1;>sp|P51617-3|IRAK1_HUMAN Isoform 3 of Interl	2	2	2	0	0	0	0	0	5320100	0	0	0	0	0	0			
Q86WP2-3;Q86WP2;Q86WP2-2;F5GY92;D4PHA4	Q86WP2-3;Q86WP2;Q86WP2-2;F5GY92;D4PHA4	Vasculin	GPBP1	>sp|Q86WP2-3|GPBP1_HUMAN Isoform 3 of Vasculin OS=Homo sapiens GN=GPBP1;>sp|Q86WP2|GPBP1_HUMAN Vasculin OS=Homo sapiens GN=GPBP1 PE=1 SV=1;>sp|Q86WP2-2|GPBP1_HUMAN Isoform 2 of Vasculin OS=Homo sapiens GN=GPBP1;>tr|F5GY92|F5GY92_HUMAN Vasculin OS=Homo sapi	2	2	2	0	0	0	8870500	9161000	0	10493000	9587800	12143000	7933700	11608000	10731000			
D6RDP9;D6R952;Q15800	D6RDP9;D6R952;Q15800	Methylsterol monooxygenase 1	MSMO1	>tr|D6RDP9|D6RDP9_HUMAN Methylsterol monooxygenase 1 (Fragment) OS=Homo sapiens GN=MSMO1 PE=4 SV=1;>tr|D6R952|D6R952_HUMAN Methylsterol monooxygenase 1 OS=Homo sapiens GN=MSMO1 PE=4 SV=1;>sp|Q15800|MSMO1_HUMAN Methylsterol monooxygenase 1 OS=Homo sapiens G	1	1	1	0	0	0	0	0	0	0	0	0	0	0	10403000			
D6R9A4	D6R9A4		G3BP2	>tr|D6R9A4|D6R9A4_HUMAN Ras GTPase-activating protein-binding protein 2 (Fragment) OS=Homo sapiens GN=G3BP2 PE=1 SV=1	3	1	1	0	0	0	0	0	0	0	0	0	0	4535700	0			
D6R9P3;D6RD18;Q99729-3;D6RBZ0;Q99729-2;Q99729-4;Q99729	D6R9P3;D6RD18;Q99729-3;D6RBZ0;Q99729-2;Q99729-4;Q99729	Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB	>tr|D6R9P3|D6R9P3_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=1;>tr|D6RD18|D6RD18_HUMAN Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=1;>sp|Q99729-3|ROAA_HUMAN Isoform 3 of Heterogen	2	2	2	0	0	0	0	0	0	0	12466000	21193000	0	25007000	25538000			
D6RAY7;D6R9P4;P46926;D6RFF8;D6R917;D6RB13;B7Z3X4;E7EVU7;Q8TDQ7-3;Q8TDQ7-2;Q8TDQ7	D6RAY7;D6R9P4;P46926;D6RFF8;D6R917;D6RB13;B7Z3X4;E7EVU7;Q8TDQ7-3;Q8TDQ7-2;Q8TDQ7	Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase 2	GNPDA1;GNPDA2	>tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase 1 (Fragment) OS=Homo sapiens GN=GNPDA1 PE=1 SV=1;>tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens GN=GNPDA1 PE=1 SV=1;>sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomer	2	2	2	0	0	0	0	7635700	0	0	0	0	0	0	0			
D6RAW0;D6RFM0;P62837-2;D6RAH7;H9KV45;P62837;P61077;P61077-2;P61077-3;D6RA11;Q9UQL0;C9J9H9;Q9Y2X8;P51668	D6RAW0;D6RFM0;P62837-2;D6RAH7;H9KV45;P62837;P61077;P61077-2;P61077-3;D6RA11;Q9UQL0;C9J9H9;Q9Y2X8;P51668	Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1	UBE2D3;UBE2D2;UBE2D4;UBE2D1	>tr|D6RAW0|D6RAW0_HUMAN Ubiquitin-conjugating enzyme E2 D3 (Fragment) OS=Homo sapiens GN=UBE2D3 PE=3 SV=1;>tr|D6RFM0|D6RFM0_HUMAN Ubiquitin-conjugating enzyme E2 D2 (Fragment) OS=Homo sapiens GN=UBE2D2 PE=3 SV=1;>sp|P62837-2|UB2D2_HUMAN Isoform 2 of Ubiqui	2	2	2	102390000	0	84579000	71351000	79395000	86095000	0	0	0	70899000	76157000	46978000			
D6RAM1	D6RAM1		HNRNPH1	>tr|D6RAM1|D6RAM1_HUMAN Heterogeneous nuclear ribonucleoprotein H (Fragment) OS=Homo sapiens GN=HNRNPH1 PE=1 SV=1	10	2	2	0	0	0	0	0	8507300	0	0	0	0	0	0			
D6RAN4;P32969;H0Y9V9;E7ESE0;H0Y9R4	D6RAN4;P32969;H0Y9V9;E7ESE0;H0Y9R4	60S ribosomal protein L9	RPL9	>tr|D6RAN4|D6RAN4_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens GN=RPL9 PE=1 SV=2;>sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1;>tr|H0Y9V9|H0Y9V9_HUMAN 60S ribosomal protein L9 (Fragment) OS=Homo sapiens GN=RPL	6	6	6	275080000	324130000	286220000	210540000	149160000	344830000	191060000	212890000	223350000	163470000	190950000	207270000			
D6RAR6;Q14CZ7	D6RAR6;Q14CZ7	FAST kinase domain-containing protein 3	FASTKD3	>tr|D6RAR6|D6RAR6_HUMAN FAST kinase domain-containing protein 3 OS=Homo sapiens GN=FASTKD3 PE=4 SV=1;>sp|Q14CZ7|FAKD3_HUMAN FAST kinase domain-containing protein 3 OS=Homo sapiens GN=FASTKD3 PE=2 SV=2	2	2	2	0	0	0	0	0	0	0	0	0	0	1192400	0			
D6REL7;D6RBC3;Q8TBB0-3;Q8TBB0	D6REL7;D6RBC3;Q8TBB0-3;Q8TBB0	THAP domain-containing protein 6	THAP6	">tr|D6REL7|D6REL7_HUMAN THAP domain-containing protein 6 OS=Homo sapiens GN=THAP6 PE=4 SV=1;>tr|D6RBC3|D6RBC3_HUMAN THAP domain containing 6, isoform CRA_e OS=Homo sapiens GN=THAP6 PE=4 SV=1;>sp|Q8TBB0-3|THAP6_HUMAN Isoform 3 of THAP domain-containing prot"	1	1	1	0	0	0	0	0	0	0	0	0	0	6880900	0			
D6RBR7;Q9Y3S2;D6R9C8;D6R8Y9;E9PDK6;D6RCK7	D6RBR7;Q9Y3S2;D6R9C8;D6R8Y9;E9PDK6	Zinc finger protein 330	ZNF330	>tr|D6RBR7|D6RBR7_HUMAN Zinc finger protein 330 (Fragment) OS=Homo sapiens GN=ZNF330 PE=1 SV=1;>sp|Q9Y3S2|ZN330_HUMAN Zinc finger protein 330 OS=Homo sapiens GN=ZNF330 PE=1 SV=1;>tr|D6R9C8|D6R9C8_HUMAN Zinc finger protein 330 (Fragment) OS=Homo sapiens GN=	3	3	3	7075800	9546000	7485700	0	0	0	0	0	0	0	8993600	11066000			
D6RBV2;Q12907;D6RIU4;D6RDX1;D6RBH1	D6RBV2;Q12907;D6RIU4;D6RDX1	Vesicular integral-membrane protein VIP36	LMAN2	>tr|D6RBV2|D6RBV2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1;>sp|Q12907|LMAN2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1;>tr|D6RIU4|D6RIU4_HUMAN Vesicular integral-membrane pro	6	6	6	30402000	32553000	42107000	33131000	30754000	0	0	0	39083000	0	34164000	0			
P06730;P06730-3;D6RBW1;P06730-2	P06730;P06730-3;D6RBW1;P06730-2	Eukaryotic translation initiation factor 4E	EIF4E	>sp|P06730|IF4E_HUMAN Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=1 SV=2;>sp|P06730-3|IF4E_HUMAN Isoform 3 of Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E;>tr|D6RBW1|D6RBW1_HUMAN Eukaryotic translation in	2	2	2	0	0	0	0	0	0	0	0	23691000	0	0	0			
D6RCD0;Q8NBQ5	D6RCD0;Q8NBQ5	Estradiol 17-beta-dehydrogenase 11	HSD17B11	>tr|D6RCD0|D6RCD0_HUMAN Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=1;>sp|Q8NBQ5|DHB11_HUMAN Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=3	5	5	5	0	0	0	0	0	0	11305000	16473000	12331000	0	0	17800000			
D6RCE2;Q6PGP7	D6RCE2;Q6PGP7	Tetratricopeptide repeat protein 37	TTC37	>tr|D6RCE2|D6RCE2_HUMAN Tetratricopeptide repeat protein 37 (Fragment) OS=Homo sapiens GN=TTC37 PE=1 SV=1;>sp|Q6PGP7|TTC37_HUMAN Tetratricopeptide repeat protein 37 OS=Homo sapiens GN=TTC37 PE=1 SV=1	4	4	4	13672000	0	13024000	0	0	0	0	0	0	10041000	10072000	22383000			
Q8N5K1;D6RCF4	Q8N5K1;D6RCF4	CDGSH iron-sulfur domain-containing protein 2	CISD2	>sp|Q8N5K1|CISD2_HUMAN CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens GN=CISD2 PE=1 SV=1;>tr|D6RCF4|D6RCF4_HUMAN CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens GN=CISD2 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	8694300			
D6RCP9;P27707;D6RFG8	D6RCP9;P27707;D6RFG8	Deoxycytidine kinase	DCK	>tr|D6RCP9|D6RCP9_HUMAN Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=1 SV=1;>sp|P27707|DCK_HUMAN Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=1 SV=1;>tr|D6RFG8|D6RFG8_HUMAN Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4363300			
D6RDH4;Q9Y3D8-2;Q9Y3D8	D6RDH4;Q9Y3D8-2;Q9Y3D8	Adenylate kinase isoenzyme 6	TAF9	>tr|D6RDH4|D6RDH4_HUMAN Transcription initiation factor TFIID subunit 9 OS=Homo sapiens GN=TAF9 PE=4 SV=1;>sp|Q9Y3D8-2|KAD6_HUMAN Isoform 2 of Adenylate kinase isoenzyme 6 OS=Homo sapiens GN=AK6;>sp|Q9Y3D8|KAD6_HUMAN Adenylate kinase isoenzyme 6 OS=Homo sa	2	2	2	0	0	0	0	0	1979000	0	0	0	0	0	0			
D6REQ3;D6RAY1;D6RDN7;D6RIZ9;D6RBH9;D6R9D4	D6REQ3;D6RAY1;D6RDN7;D6RIZ9		SMAD1;SMAD5	>tr|D6REQ3|D6REQ3_HUMAN Mothers against decapentaplegic homolog 1 (Fragment) OS=Homo sapiens GN=SMAD1 PE=1 SV=1;>tr|D6RAY1|D6RAY1_HUMAN Mothers against decapentaplegic homolog 1 (Fragment) OS=Homo sapiens GN=SMAD1 PE=1 SV=1;>tr|D6RDN7|D6RDN7_HUMAN Mothers 	4	1	1	0	0	0	0	0	0	0	0	0	8117900	0	0			
D6RGI3;Q9NVA2;D6RER5;Q9NVA2-2;D6RDU5;H0Y961;H0Y9G8;Q92599-3;Q92599-2;A6NMH6;A6NFQ9;Q92599-4;F8W8I8;Q92599;D6RDP1;C9JV02;D6R9Y6;B7Z277	D6RGI3;Q9NVA2;D6RER5;Q9NVA2-2;D6RDU5;H0Y961	Septin-11	11-Sep	">tr|D6RGI3|D6RGI3_HUMAN Septin 11, isoform CRA_b OS=Homo sapiens GN=SEPT11 PE=1 SV=1;>sp|Q9NVA2|SEP11_HUMAN Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3;>tr|D6RER5|D6RER5_HUMAN Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=1;>sp|Q9NVA2-2|SEP11_HUMAN Isoform"	8	3	2	0	0	0	0	0	0	0	0	0	0	9991800	12423000			
O94979-4;O94979;D6REX3;O94979-6;O94979-3;O94979-10;O94979-9;O94979-2;O94979-8;D6RHZ5;O94979-7;H7BXG7;O94979-5;H0YAB3;H0Y9T9;H0Y9K1;H0Y8V7;H0Y8W8;D6RE64;D6RCQ9;H0YAF5;H0Y9V3;D6RBT0;D6RHE8	O94979-4;O94979;D6REX3;O94979-6;O94979-3;O94979-10;O94979-9;O94979-2;O94979-8;D6RHZ5;O94979-7;H7BXG7;O94979-5	Protein transport protein Sec31A	SEC31A	>sp|O94979-4|SC31A_HUMAN Isoform 4 of Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A;>sp|O94979|SC31A_HUMAN Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=3;>tr|D6REX3|D6REX3_HUMAN Protein transport protein Sec31A OS=Homo sa	28	28	28	418600000	528050000	422970000	467890000	539340000	423450000	628470000	620070000	506740000	534500000	537520000	497670000			
D6RF54;Q70EK8	D6RF54;Q70EK8	Inactive ubiquitin carboxyl-terminal hydrolase 53	USP53	>tr|D6RF54|D6RF54_HUMAN Inactive ubiquitin carboxyl-terminal hydrolase 53 OS=Homo sapiens GN=USP53 PE=4 SV=1;>sp|Q70EK8|UBP53_HUMAN Inactive ubiquitin carboxyl-terminal hydrolase 53 OS=Homo sapiens GN=USP53 PE=2 SV=2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2387800			
D6RF85;D6RDG5;Q9UFB7-2;Q9UFB7	D6RF85		ZNF652	>tr|D6RF85|D6RF85_HUMAN Zinc finger protein 652 OS=Homo sapiens GN=ZNF652 PE=1 SV=1	16	1	1	0	0	0	0	0	0	0	0	0	0	0	17115000			
D6RG09;H0Y4F4;F8W6D9;Q9GZR1-2;Q9GZR1;E7EQN6	D6RG09;H0Y4F4;F8W6D9;Q9GZR1-2;Q9GZR1;E7EQN6	Sentrin-specific protease 6	SENP6	>tr|D6RG09|D6RG09_HUMAN Sentrin-specific protease 6 (Fragment) OS=Homo sapiens GN=SENP6 PE=4 SV=1;>tr|H0Y4F4|H0Y4F4_HUMAN Sentrin-specific protease 6 (Fragment) OS=Homo sapiens GN=SENP6 PE=1 SV=1;>tr|F8W6D9|F8W6D9_HUMAN Sentrin-specific protease 6 OS=Homo 	1	1	1	0	0	0	0	0	0	0	0	0	0	7697300	0			
D6RGY8	D6RGY8		YIPF3	>tr|D6RGY8|D6RGY8_HUMAN Protein YIPF3 (Fragment) OS=Homo sapiens GN=YIPF3 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	228650000	+		
Q8WVV9-4;Q8WVV9;D6W592;Q8WVV9-5;B7WPG3;Q8WVV9-3;Q8WVV9-2;C9IYN3;H7BXH8;H7C464;C9JJZ7	Q8WVV9-4;Q8WVV9;D6W592;Q8WVV9-5;B7WPG3	Heterogeneous nuclear ribonucleoprotein L-like	HNRNPLL;HNRPLL	>sp|Q8WVV9-4|HNRLL_HUMAN Isoform 4 of Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRNPLL;>sp|Q8WVV9|HNRLL_HUMAN Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRNPLL PE=1 SV=1;>tr|D6W592|D6W592_HUMAN Heterogeneous	15	14	14	81985000	66945000	80905000	98538000	110670000	123290000	81946000	86388000	91880000	86324000	69002000	80955000			
E9PCS8;E7EQY4;Q9BTC8-2;D6W5A2;E7EV10;Q9BTC8;F8VSM3;Q13330-2;Q13330-3;E7ESY4;Q13330	E9PCS8;E7EQY4;Q9BTC8-2;D6W5A2;E7EV10;Q9BTC8;F8VSM3;Q13330-2;Q13330-3;E7ESY4;Q13330	Metastasis-associated protein MTA3;Metastasis-associated protein MTA1	MTA3;MTA1	>tr|E9PCS8|E9PCS8_HUMAN Metastasis-associated protein MTA3 OS=Homo sapiens GN=MTA3 PE=4 SV=1;>tr|E7EQY4|E7EQY4_HUMAN Metastasis-associated protein MTA3 OS=Homo sapiens GN=MTA3 PE=1 SV=1;>sp|Q9BTC8-2|MTA3_HUMAN Isoform 2 of Metastasis-associated protein MTA	4	2	2	0	0	8123100	0	0	0	0	0	0	0	0	0			
E2QRH7;Q9NYP7;Q9NYP7-2	E2QRH7;Q9NYP7;Q9NYP7-2	Elongation of very long chain fatty acids protein 5	ELOVL5	>tr|E2QRH7|E2QRH7_HUMAN Elongation of very long chain fatty acids protein OS=Homo sapiens GN=ELOVL5 PE=1 SV=2;>sp|Q9NYP7|ELOV5_HUMAN Elongation of very long chain fatty acids protein 5 OS=Homo sapiens GN=ELOVL5 PE=1 SV=1;>sp|Q9NYP7-2|ELOV5_HUMAN Isoform 2 	1	1	1	0	0	0	0	0	0	0	0	0	0	8240300	8378700			
H7C4X8;E9PBA6;F5H3X0;E3W994;J3KR49;O75122;F5H604;E7ERI8;E7EW49	H7C4X8;E9PBA6;F5H3X0;E3W994;J3KR49;O75122;F5H604;E7ERI8;E7EW49	CLIP-associating protein 2	CLASP2	>tr|H7C4X8|H7C4X8_HUMAN CLIP-associating protein 2 (Fragment) OS=Homo sapiens GN=CLASP2 PE=1 SV=1;>tr|E9PBA6|E9PBA6_HUMAN CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2;>tr|F5H3X0|F5H3X0_HUMAN CLIP-associating protein 2 OS=Homo sapiens GN=C	1	1	1	0	0	0	0	0	0	0	0	0	0	2799400	0			
O60313;E5KLK1;E5KLJ6;E5KLJ9;O60313-2;E5KLJ5;H7C141;H7C3G2;H7C321	O60313;E5KLK1;E5KLJ6;E5KLJ9;O60313-2;E5KLJ5	"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1"	OPA1	">sp|O60313|OPA1_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3;>tr|E5KLK1|E5KLK1_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=1;>tr|E5KLJ6|E5KLJ6_HUMAN Dynamin-like 120 kDa protein, "	20	20	20	72099000	77455000	82840000	81785000	84406000	88713000	110570000	125010000	121590000	89590000	99061000	94369000			
